Date,Downstream Project,Upstream Project,Diff Status,Files Changed,Line Insertions,Line Deletions,Line Changes,Commits Not Upstreamed
2018/03/02,platform/frameworks/multidex,platform/frameworks/multidex,Modified Projects,34,707,540,1247,23
2018/03/02,device/google/cuttlefish_common,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/safe-iop,platform/external/safe-iop,Modified Projects,2,8,1,9,1
2018/03/02,platform/system/libfmq,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/mmc-utils,platform/external/mmc-utils,Modified Projects,2,22,21,43,1
2018/03/02,platform/frameworks/compile/libbcc,platform/frameworks/compile/libbcc,Modified Projects,113,1611,2526,4137,48
2018/03/02,platform/pdk,platform/pdk,Modified Projects,7,48,2,50,6
2018/03/02,platform/system/keymaster,platform/system/keymaster,Modified Projects,82,1701,698,2399,59
2018/03/02,platform/external/compiler-rt,platform/external/compiler-rt,Modified Projects,829,26574,5966,32540,29
2018/03/02,platform/external/lzma,platform/external/lzma,Modified Projects,374,22457,14584,37041,10
2018/03/02,platform/tools/external/gradle,platform/tools/external/gradle,Modified Projects,29,77,10,87,0
2018/03/02,platform/packages/apps/StorageManager,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/squashfs-tools,platform/external/squashfs-tools,Modified Projects,7,347,62,409,180
2018/03/02,platform/external/blktrace,platform/external/blktrace,Intact Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/LatinIME,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/SpareParts,platform/packages/apps/SpareParts,Modified Projects,2,4,3,7,2
2018/03/02,platform/external/webview_support_interfaces,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/hamcrest,platform/external/hamcrest,Modified Projects,193,11084,2287,13371,7
2018/03/02,platform/system/iot/attestation,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/harfbuzz_ng,platform/external/harfbuzz_ng,Modified Projects,314,21669,10087,31756,620
2018/03/02,platform/external/libogg,platform/external/libogg,Modified Projects,2,14,12,26,2
2018/03/02,platform/system/core,platform/system/core,Modified Projects,1852,156609,92451,249060,2185
2018/03/02,platform/packages/services/NetworkRecommendation,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/tools/test/connectivity,platform/tools/test/connectivity,Modified Projects,550,130094,13669,143763,1383
2018/03/02,platform/external/speex,platform/external/speex,Modified Projects,3,58,133,191,7
2018/03/02,platform/external/boringssl,platform/external/boringssl,Modified Projects,1359,868569,392501,1261070,77
2018/03/02,platform/external/guava,platform/external/guava,Modified Projects,4,34,45,79,4
2018/03/02,platform/frameworks/opt/calendar,platform/frameworks/opt/calendar,Modified Projects,4,161,50,211,2
2018/03/02,platform/packages/apps/Gallery,platform/packages/apps/Gallery,Modified Projects,39,66,63,129,11
2018/03/02,platform/external/lisa,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/mdnsresponder,platform/external/mdnsresponder,Modified Projects,181,40679,149,40828,12
2018/03/02,platform/hardware/libhardware,platform/hardware/libhardware,Modified Projects,347,28190,10941,39131,265
2018/03/02,platform/external/jline,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/system/chre,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/webrtc,platform/external/webrtc,Modified Projects,142,952,2526,3478,8
2018/03/02,platform/external/cmockery,platform/external/cmockery,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/esd,platform/external/esd,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/libhevc,platform/external/libhevc,Modified Projects,41,2090,512,2602,49
2018/03/02,platform/external/markdown,platform/external/markdown,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/xmlrpcpp,platform/external/xmlrpcpp,Modified Projects,3,3,3,6,2
2018/03/02,platform/external/libunwind,platform/external/libunwind,Modified Projects,10,179,612,791,15
2018/03/02,platform/external/kernel-headers,platform/external/kernel-headers,Modified Projects,947,28653,6585,35238,11
2018/03/02,device/generic/mini-emulator-mips,device/generic/mini-emulator-mips,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/python/google-auth-httplib2,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/DocumentsUI,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/universal-tween-engine,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/mksh,platform/external/mksh,Modified Projects,36,9622,5459,15081,10
2018/03/02,device/huawei/angler-kernel,device/huawei/angler-kernel,Modified Projects,1,0,0,0,0
2018/03/02,platform/frameworks/compile/slang,platform/frameworks/compile/slang,Modified Projects,249,10339,1277,11616,62
2018/03/02,platform/test/vti/fuzz_test_serving,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/tools/apksig,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/eyes-free,platform/external/eyes-free,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/giflib,platform/external/giflib,Modified Projects,8,135,58,193,4
2018/03/02,platform/external/nist-pkits,platform/external/nist-pkits,Modified Projects,2,2,2,4,1
2018/03/02,platform/external/gflags,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libgsm,platform/external/libgsm,Modified Projects,44,5275,102,5377,4
2018/03/02,platform/external/sl4a,platform/external/sl4a,Modified Projects,260,14610,5000,19610,212
2018/03/02,platform/external/libdrm,platform/external/libdrm,Modified Projects,181,13624,3727,17351,199
2018/03/02,platform/external/gptfdisk,platform/external/gptfdisk,Modified Projects,17,43,6,49,6
2018/03/02,platform/external/xz-embedded,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/google-styleguide,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/emma,platform/external/emma,Modified Projects,1,5,1,6,2
2018/03/02,platform/external/python/googleapis,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/vixl,platform/external/vixl,Modified Projects,4309,8527937,1870818,10398755,368
2018/03/02,platform/packages/apps/Browser2,platform/packages/apps/Browser2,Modified Projects,2,7,1,8,3
2018/03/02,platform/packages/apps/PackageInstaller,platform/packages/apps/PackageInstaller,Modified Projects,454,12879,6841,19720,169
2018/03/02,platform/packages/apps/ExactCalculator,platform/packages/apps/ExactCalculator,Modified Projects,189,11457,3286,14743,154
2018/03/02,device/google/marlin,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/uml,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/generic/car,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libvpx,platform/external/libvpx,Modified Projects,1069,190505,181038,371543,22
2018/03/02,platform/build,platform/build,Modified Projects,1289,29097,103359,132456,1334
2018/03/02,platform/external/lmfit,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/cblas,platform/external/cblas,Modified Projects,2,192,193,385,5
2018/03/02,platform/external/mockftpserver,platform/external/mockftpserver,Modified Projects,1,37,0,37,3
2018/03/02,platform/external/perfetto,,Downstream Only Projects,0,0,0,0,0
