name,vndk,vndk_sp,vendor_available,rule
android.frameworks.bufferhub@1.0,False,False,True,hidl_interface
android.frameworks.bufferhub@1.0-adapter-helper,False,False,True,hidl_interface
android.frameworks.cameraservice.common@2.0,True,False,True,hidl_interface
android.frameworks.cameraservice.common@2.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.cameraservice.device@2.0,True,False,True,hidl_interface
android.frameworks.cameraservice.device@2.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.cameraservice.service@2.0,True,False,True,hidl_interface
android.frameworks.cameraservice.service@2.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.displayservice@1.0,True,False,True,hidl_interface
android.frameworks.displayservice@1.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.schedulerservice@1.0,True,False,True,hidl_interface
android.frameworks.schedulerservice@1.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.sensorservice@1.0,True,False,True,hidl_interface
android.frameworks.sensorservice@1.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.stats@1.0,True,False,True,hidl_interface
android.frameworks.stats@1.0-adapter-helper,True,False,True,hidl_interface
android.frameworks.vr.composer@1.0,True,False,True,hidl_interface
android.frameworks.vr.composer@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.atrace@1.0,True,False,True,hidl_interface
android.hardware.atrace@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio.common-util,False,False,True,cc_library_shared
android.hardware.audio.common@2.0,True,False,True,hidl_interface
android.hardware.audio.common@2.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio.common@2.0-util,False,False,True,cc_library_shared
android.hardware.audio.common@4.0,True,False,True,hidl_interface
android.hardware.audio.common@4.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio.common@4.0-util,False,False,True,cc_library_shared
android.hardware.audio.common@5.0,True,False,True,hidl_interface
android.hardware.audio.common@5.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio.common@5.0-util,False,False,True,cc_library_shared
android.hardware.audio.effect@2.0,True,False,True,hidl_interface
android.hardware.audio.effect@2.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio.effect@4.0,True,False,True,hidl_interface
android.hardware.audio.effect@4.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio.effect@5.0,True,False,True,hidl_interface
android.hardware.audio.effect@5.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio@2.0,True,False,True,hidl_interface
android.hardware.audio@2.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio@4.0,True,False,True,hidl_interface
android.hardware.audio@4.0-adapter-helper,True,False,True,hidl_interface
android.hardware.audio@5.0,True,False,True,hidl_interface
android.hardware.audio@5.0-adapter-helper,True,False,True,hidl_interface
android.hardware.authsecret@1.0,True,False,True,hidl_interface
android.hardware.authsecret@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.automotive.audiocontrol@1.0,True,False,True,hidl_interface
android.hardware.automotive.audiocontrol@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.automotive.evs@1.0,True,False,True,hidl_interface
android.hardware.automotive.evs@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.automotive.vehicle@2.0,True,False,True,hidl_interface
android.hardware.automotive.vehicle@2.0-adapter-helper,True,False,True,hidl_interface
android.hardware.biometrics.face@1.0,True,False,True,hidl_interface
android.hardware.biometrics.face@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.biometrics.fingerprint@2.1,True,False,True,hidl_interface
android.hardware.biometrics.fingerprint@2.1-adapter-helper,True,False,True,hidl_interface
android.hardware.bluetooth.a2dp@1.0,True,False,True,hidl_interface
android.hardware.bluetooth.a2dp@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.bluetooth.audio@2.0,True,False,True,hidl_interface
android.hardware.bluetooth.audio@2.0-adapter-helper,True,False,True,hidl_interface
android.hardware.bluetooth@1.0,True,False,True,hidl_interface
android.hardware.bluetooth@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.boot@1.0,True,False,True,hidl_interface
android.hardware.boot@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.broadcastradio@1.0,True,False,True,hidl_interface
android.hardware.broadcastradio@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.broadcastradio@1.1,True,False,True,hidl_interface
android.hardware.broadcastradio@1.1-adapter-helper,True,False,True,hidl_interface
android.hardware.broadcastradio@2.0,True,False,True,hidl_interface
android.hardware.broadcastradio@2.0-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.common@1.0,True,False,True,hidl_interface
android.hardware.camera.common@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.device@1.0,True,False,True,hidl_interface
android.hardware.camera.device@1.0-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.device@3.2,True,False,True,hidl_interface
android.hardware.camera.device@3.2-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.device@3.3,True,False,True,hidl_interface
android.hardware.camera.device@3.3-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.device@3.4,True,False,True,hidl_interface
android.hardware.camera.device@3.4-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.device@3.5,True,False,True,hidl_interface
android.hardware.camera.device@3.5-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.metadata@3.2,True,False,True,hidl_interface
android.hardware.camera.metadata@3.2-adapter-helper,True,False,True,hidl_interface
android.hardware.camera.metadata@3.3,True,False,True,hidl_interface
