Path,Tag,Comments
/apex/com.android.runtime/${LIB}/bionic/libc.so,LL-NDK,
/apex/com.android.runtime/${LIB}/bionic/libdl.so,LL-NDK,
/apex/com.android.runtime/${LIB}/bionic/libm.so,LL-NDK,
/system/${LIB}/android.frameworks.cameraservice.common@2.0.so,VNDK,
/system/${LIB}/android.frameworks.cameraservice.device@2.0.so,VNDK,
/system/${LIB}/android.frameworks.cameraservice.service@2.0.so,VNDK,
/system/${LIB}/android.frameworks.displayservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.schedulerservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.sensorservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.stats@1.0.so,VNDK,
/system/${LIB}/android.frameworks.vr.composer@1.0.so,VNDK,
/system/${LIB}/android.hardware.atrace@1.0.so,VNDK,
/system/${LIB}/android.hardware.audio.common-util.so,FWK-ONLY,
/system/${LIB}/android.hardware.audio.common@2.0-util.so,FWK-ONLY,
/system/${LIB}/android.hardware.audio.common@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio.common@4.0-util.so,FWK-ONLY,
/system/${LIB}/android.hardware.audio.common@4.0.so,VNDK,
/system/${LIB}/android.hardware.audio.common@5.0.so,VNDK,
/system/${LIB}/android.hardware.audio.effect@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio.effect@4.0.so,VNDK,
/system/${LIB}/android.hardware.audio.effect@5.0.so,VNDK,
/system/${LIB}/android.hardware.audio@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio@4.0.so,VNDK,
/system/${LIB}/android.hardware.audio@5.0.so,VNDK,
/system/${LIB}/android.hardware.authsecret@1.0.so,VNDK,
/system/${LIB}/android.hardware.automotive.audiocontrol@1.0.so,VNDK,
/system/${LIB}/android.hardware.automotive.evs@1.0.so,VNDK,
/system/${LIB}/android.hardware.automotive.vehicle@2.0.so,VNDK,
/system/${LIB}/android.hardware.biometrics.face@1.0.so,VNDK,
/system/${LIB}/android.hardware.biometrics.fingerprint@2.1.so,VNDK,
/system/${LIB}/android.hardware.bluetooth.a2dp@1.0.so,VNDK,
/system/${LIB}/android.hardware.bluetooth.audio@2.0.so,VNDK,
/system/${LIB}/android.hardware.bluetooth@1.0.so,VNDK,
/system/${LIB}/android.hardware.boot@1.0.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@1.0.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@1.1.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@2.0.so,VNDK,
