Path,Tag,v3.7
/system/${LIB}/android.frameworks.displayservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.schedulerservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.sensorservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.vr.composer@1.0.so,VNDK,
/system/${LIB}/android.hardware.audio.common@2.0-util.so,VNDK,
/system/${LIB}/android.hardware.audio.common@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio.effect@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio@2.0.so,VNDK,
/system/${LIB}/android.hardware.automotive.evs@1.0.so,VNDK,
/system/${LIB}/android.hardware.automotive.vehicle@2.0.so,VNDK,
/system/${LIB}/android.hardware.automotive.vehicle@2.1.so,VNDK,
/system/${LIB}/android.hardware.biometrics.fingerprint@2.1.so,VNDK,
/system/${LIB}/android.hardware.bluetooth@1.0.so,VNDK,
/system/${LIB}/android.hardware.boot@1.0.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@1.0.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@1.1.so,VNDK,
/system/${LIB}/android.hardware.camera.common@1.0.so,VNDK,
/system/${LIB}/android.hardware.camera.device@1.0.so,VNDK,
/system/${LIB}/android.hardware.camera.device@3.2.so,VNDK,
/system/${LIB}/android.hardware.camera.metadata@3.2.so,VNDK,
/system/${LIB}/android.hardware.camera.provider@2.4.so,VNDK,
/system/${LIB}/android.hardware.cas.native@1.0.so,VNDK,
/system/${LIB}/android.hardware.cas@1.0.so,VNDK,
/system/${LIB}/android.hardware.configstore-utils.so,VNDK,
/system/${LIB}/android.hardware.configstore@1.0.so,VNDK,
/system/${LIB}/android.hardware.configstore@1.1.so,VNDK,
/system/${LIB}/android.hardware.contexthub@1.0.so,VNDK,
/system/${LIB}/android.hardware.drm@1.0.so,VNDK,
/system/${LIB}/android.hardware.dumpstate@1.0.so,VNDK,
/system/${LIB}/android.hardware.gatekeeper@1.0.so,VNDK,
/system/${LIB}/android.hardware.gnss@1.0.so,VNDK,
/system/${LIB}/android.hardware.graphics.allocator@2.0.so,VNDK-SP,
/system/${LIB}/android.hardware.graphics.bufferqueue@1.0.so,VNDK,
/system/${LIB}/android.hardware.graphics.common@1.0.so,VNDK-SP,
/system/${LIB}/android.hardware.graphics.composer@2.1.so,VNDK,
/system/${LIB}/android.hardware.graphics.mapper@2.0.so,VNDK-SP,
/system/${LIB}/android.hardware.health@1.0.so,VNDK,
/system/${LIB}/android.hardware.ir@1.0.so,VNDK,
/system/${LIB}/android.hardware.keymaster@3.0.so,VNDK,
/system/${LIB}/android.hardware.light@2.0.so,VNDK,
/system/${LIB}/android.hardware.media.omx@1.0.so,VNDK,
/system/${LIB}/android.hardware.media@1.0.so,VNDK,
/system/${LIB}/android.hardware.memtrack@1.0.so,VNDK,
/system/${LIB}/android.hardware.neuralnetworks@1.0.so,VNDK,
/system/${LIB}/android.hardware.nfc@1.0.so,VNDK,
/system/${LIB}/android.hardware.oemlock@1.0.so,VNDK,
/system/${LIB}/android.hardware.power@1.0.so,VNDK,
/system/${LIB}/android.hardware.power@1.1.so,VNDK,
/system/${LIB}/android.hardware.radio.deprecated@1.0.so,VNDK,
/system/${LIB}/android.hardware.radio@1.0.so,VNDK,
/system/${LIB}/android.hardware.radio@1.1.so,VNDK,
/system/${LIB}/android.hardware.renderscript@1.0.so,VNDK-SP,
/system/${LIB}/android.hardware.sensors@1.0.so,VNDK,
/system/${LIB}/android.hardware.soundtrigger@2.0.so,VNDK,
/system/${LIB}/android.hardware.tests.bar@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.baz@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.expression@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.extension.light@2.0.so,VNDK,
/system/${LIB}/android.hardware.tests.foo@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.hash@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.inheritance@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.libhwbinder@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.memory@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.msgq@1.0.so,VNDK,
