Path,Tag,Comments
/apex/com.android.runtime/${LIB}/bionic/libc.so,LL-NDK,
/apex/com.android.runtime/${LIB}/bionic/libdl.so,LL-NDK,
/apex/com.android.runtime/${LIB}/bionic/libm.so,LL-NDK,
/system/${LIB}/libEGL.so,LL-NDK,
/system/${LIB}/libGLESv1_CM.so,LL-NDK,
/system/${LIB}/libGLESv2.so,LL-NDK,
/system/${LIB}/libGLESv3.so,LL-NDK,
/system/${LIB}/libandroid_net.so,LL-NDK,
/system/${LIB}/libc.so,LL-NDK,
/system/${LIB}/libdl.so,LL-NDK,
/system/${LIB}/libft2.so,FWK-ONLY-RS,
/system/${LIB}/liblog.so,LL-NDK,
/system/${LIB}/libm.so,LL-NDK,
/system/${LIB}/libmediandk.so,FWK-ONLY-RS,
/system/${LIB}/libnativewindow.so,LL-NDK,
/system/${LIB}/libstdc++.so,LL-NDK,
/system/${LIB}/libsync.so,LL-NDK,
/system/${LIB}/libvndksupport.so,LL-NDK,
/system/${LIB}/libvulkan.so,LL-NDK,
/system/${LIB}/libz.so,LL-NDK,
/system/${LIB}/vndk-sp/android.hardware.graphics.allocator@2.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.common@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.mapper@2.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.renderscript@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hidl.base@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hidl.memory@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRSCpuRef.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRSDriver.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRS_internal.so,VNDK-SP,
/system/${LIB}/vndk-sp/libbacktrace.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libbase.so,VNDK-SP,
/system/${LIB}/vndk-sp/libbcinfo.so,VNDK-SP,
/system/${LIB}/vndk-sp/libblas.so,VNDK-SP-Indirect-Private,
/system/${LIB}/vndk-sp/libc++.so,VNDK-SP,
/system/${LIB}/vndk-sp/libcompiler_rt.so,VNDK-SP-Indirect-Private,
/system/${LIB}/vndk-sp/libcutils.so,VNDK-SP,
/system/${LIB}/vndk-sp/libft2.so,FWK-ONLY-RS,
/system/${LIB}/vndk-sp/libhardware.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhidlbase.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhidlmemory.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhidltransport.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhwbinder.so,VNDK-SP,
/system/${LIB}/vndk-sp/libion.so,VNDK-SP,
/system/${LIB}/vndk-sp/liblzma.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libmediandk.so,FWK-ONLY-RS,
/system/${LIB}/vndk-sp/libunwind.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libutils.so,VNDK-SP,
[regex]^.*/android\.hardware\.graphics\.mapper@\d+\.\d+-impl\.so$,SP-HAL,
[regex]^.*/android\.hardware\.renderscript@1\.0-impl\.so$,SP-HAL,
[regex]^.*/gralloc\..*\.so$,SP-HAL,
[regex]^/vendor/.*/libEGL_.*\.so$,SP-HAL,
[regex]^/vendor/.*/libGLES_.*\.so$,SP-HAL,
[regex]^/vendor/.*/libGLESv1_CM_.*\.so$,SP-HAL,
[regex]^/vendor/.*/libGLESv2_.*\.so$,SP-HAL,
[regex]^/vendor/.*/libGLESv3_.*\.so$,SP-HAL,
[regex]^/vendor/.*/libPVRRS\.so$,SP-HAL,
[regex]^/vendor/.*/libRSDriver.*\.so$,SP-HAL,
[regex]^/vendor/.*/vulkan.*\.so$,SP-HAL,
